episode_index,building,collector_id,language_instruction,language_instruction_2,language_instruction_3,is_episode_successful,task_index
5763,PennPAL lab,06b0ffa5,Remove the pen from the green cup.,Remove the marker from the cup,Pick up the pen and put it in the cup,true,3939
5776,PennPAL lab,06b0ffa5,Put the marker on the table,Pick the pen and put it on the counter,Put the marker on the table,true,243
5881,PennPAL lab,06b0ffa5,Pick up the black tape from the table and put it on the plate.,Put the tape on the plate,Put the tape on the plate,true,4013
6020,PennPAL lab,06b0ffa5,Remove the marker from the mug and put it on the counter,Remove the marker from the mug cup and place it on the table,Remove the blue marker from the black mug,true,1627
6113,PennPAL lab,06b0ffa5,Remove the black pen  from the mug,Remove the pen from the mug and put it on the counter,Remove the pen from the mug cup,true,4141
6285,PennPAL lab,06b0ffa5,Put the black tape on the plate,Put the black masking tape on the plate,Put the black tape on the plate,true,4245
6353,PennPAL lab,06b0ffa5,Put the black masking tape on the white plate,Pick the tape and put it on the plate,Put the black tape on the plate,true,856
6674,PennPAL lab,06b0ffa5,Take the blue pen out of the red and black mug,Pick up the pen from the cup and put it on the table,Remove the marker from the mug,true,4495
6880,PennPAL lab,06b0ffa5,Remove the pen from the mug and put it on the counter,Take the blue marker out of the black and red mug,Pick up the pen from the cup and put it on the counter,true,4617
7097,PennPAL lab,06b0ffa5,Close the open drawer,Close the bottom drawer on the left,Close the drawer,true,9
7136,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the counter,Pick the pen from the cup and put it on the counter,Take the black pen out of the white and orange mug,true,4775
7147,PennPAL lab,06b0ffa5,Remove the pen from the black mug,Take the pen out of the black and red mug,Remove the pen from the mug cup and place it on the table,true,4784
7185,PennPAL lab,06b0ffa5,Put the pen on the counter,Remove the pen from the cup,Pick up the pen from the cup and put it on the counter,true,1326
7945,PennPAL lab,06b0ffa5,Put the black tape on the plate,Put the black masking tape on the white plate,Pick up the seal tape from the table and put it on the plate,true,4245
8120,PennPAL lab,06b0ffa5,Close the drawer,Close the open drawer,Close the topmost drawer of the kitchen unit,true,115
8323,PennPAL lab,06b0ffa5,Close the top drawer of the kitchen unit,Close the drawer,Push the open drawer closed,true,278
8360,PennPAL lab,06b0ffa5,Pick up the pen from the black mug cup and put it on the table.,Remove the marker from the mug,Take the pen out of the mug,true,5546
8569,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the table,Remove the pen from the mug and put it on the table,Remove the pen from the white mug and place it on the table,true,604
8587,PennPAL lab,06b0ffa5,Take the marker from the black cup and put it on the table,Remove the pen from the red and black mug,Remove the marker from the black cup and place it on the table,true,5686
8925,PennPAL lab,06b0ffa5,Remove the pen from the black mug,Remove the pen from the mug and put it on the table,Take the pen out of the black mug and place it on the table,true,4784
9088,PennPAL lab,06b0ffa5,Pick up the black masking tape and put it in the plate,Put the marker on the plate,Put the black tape on the plate,true,5986
9246,PennPAL lab,06b0ffa5,Remove the marker from the mug cup and place it on the table,Pick up the pen from the cup and put it on the table,Put the marker on the table,true,158
9285,PennPAL lab,06b0ffa5,Close the open drawer.,Close the drawer,Close the drawer,true,6080
9426,PennPAL lab,06b0ffa5,Close the open drawer,Close the drawer,Close the drawer on the left,true,9
9644,PennPAL lab,06b0ffa5,Close the top drawer.,Close the open drawer on the left.,Close the drawer,true,6317
10025,PennPAL lab,06b0ffa5,Take the pen out of the cup and put it on the counter,Take the pen out of the green cup,Remove the pen from the cup,true,1503
10348,PennPAL lab,06b0ffa5,Pick up the seal tape and put it on the plate,Put the masking tape on the plate,Put the black masking tape on the plate,true,6741
10508,PennPAL lab,06b0ffa5,Take the pen out of the green cup,Put the pen on the table,Remove the pen from the green cup,true,6840
10781,PennPAL lab,06b0ffa5,Take the marker out of the cup,Remove the marker from the cup,Remove the pen from the cup and put it on the table,true,4431
10921,PennPAL lab,06b0ffa5,Pick up the pen from the green cup and put it on the countertop.,Pick up the pen from the cup and put it on the counter,Remove the marker from the cup and place it on the table,true,3034
11517,PennPAL lab,06b0ffa5,Put the black masking tape on to the plate.,Pick up the seal tape and put it on the plate,Pick up the black tape from the table and put it on the plate.,true,7438
11627,PennPAL lab,06b0ffa5,Put the pen on the countertop,Take the pen out of the mug and put it on the counter,Take the pen out of the mug and place it on the countertop,true,7510
11677,PennPAL lab,06b0ffa5,Remove the marker out of the cup and put it on the table,Remove the marker from the mug,Remove the marker from the cup,true,2136
11755,PennPAL lab,06b0ffa5,Take the marker from the black cup and put it on the table,Remove the marker from the mug cup and place it on the table,Remove the marker from the mug and put it on the table,true,5686
11891,PennPAL lab,06b0ffa5,Remove the pen from the mug cup and place it on the table,Pick the pen in the cup and put it on the table,Take the pen out of the mug and place it on the countertop,true,3889
11945,PennPAL lab,06b0ffa5,Place the pen in the mug on the counter,Take the marker out of the mug and place it on the counter,Put the pen on the counter,true,7691
12167,PennPAL lab,06b0ffa5,Pick up the pen from the cup and place it on the table,Take the blue marker out of the green cup.,Pick up the pen from the green cup and put it on kitchen base top,true,4029
12274,PennPAL lab,06b0ffa5,Close the drawer,Fully close the open drawer,Close the open drawer,true,115
12322,PennPAL lab,06b0ffa5,Remove the pen from the mug cup and place it on the table,Remove the pen from the mug,Pick up the pen from the cup and put it on the counter,true,3889
12490,PennPAL lab,06b0ffa5,Take the marker out of the cup and put it on the counter,Take the pen out of the cup and put it on the counter,Remove the marker from the green cup and place it on the counter top,true,8026
12616,PennPAL lab,06b0ffa5,Remove the pen from the cup and put it on the table,Remove the pen from the cup,Pick up the pen from the cup and put it on the table,true,1720
12770,PennPAL lab,06b0ffa5,Put the tape on the plate,Place the black masking tape on the white plate,Put the masking tape on the plate,true,996
12978,PennPAL lab,06b0ffa5,Remove the blue pen from the red and black mug,Remove the blue pen from the black mug,Remove the marker from the mug cup and place it on the table,true,8292
13304,PennPAL lab,06b0ffa5,Pick up the pen from the white mug cup and put it on the table.,Pick up the pen from the white cup and put it on the countertop.,Remove the pen from the mug,true,3556
13478,PennPAL lab,06b0ffa5,Close the open drawer,Close the open drawer,Close the drawer,true,9
13514,PennPAL lab,06b0ffa5,Close the open drawer,Close the drawer,Close the top drawer,true,9
14227,PennPAL lab,06b0ffa5,Remove the black pen from the white mug,Pick the pen from the cup and place it on the table,Remove the pen from the mug cup,true,9026
14321,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the counter,Take the pen out of the mug and put it on the countertop,Remove the pen from the mug cup,true,4775
14348,PennPAL lab,06b0ffa5,Close the top drawer at the left side of the oven,Close the open drawer completely,Close the drawer,true,9102
14371,PennPAL lab,06b0ffa5,Remove the pen from the cup and put in the counter,Take the blue marker out of the green cup,Pick up the pen from the green cup and put it on the countertop.,true,9113
14606,PennPAL lab,06b0ffa5,Take the marker out of the black cup and place on the table,Take the marker out of the black cup and place it on the table,Take the pen out of the mug and put it on the table,true,9251
15107,PennPAL lab,06b0ffa5,Remove the pen from the mug cup and place it on the table,Move the pen in the mug to the counter,Put the pen on the table,true,3889
15354,PennPAL lab,06b0ffa5,Remove the marker from the green cup and place it on the table,Remove the blue pen from the green cup and put it on the table,Take the pen from the cup and put it on the countertop,true,9704
15429,PennPAL lab,06b0ffa5,Close the open drawer.,Close the open drawer,Close the top drawer of the kitchen unit,true,6080
15584,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the desk,Take the pen out of the mug and put it on the counter,Put the pen in the mug on the table,true,9828
16226,PennPAL lab,06b0ffa5,Place the marker on the counter,Take the pen out of the cup and put it on the counter,Remove the marker from the green cup and place it on the counter top,true,10227
16372,PennPAL lab,06b0ffa5,Pick up the pen from the black cup and put it on the table.,Take the blue marker out of the red and black mug,Pick up the pen from the cup and put it on the table,true,10313
16758,PennPAL lab,06b0ffa5,Place the black masking tape on the white plate,Put the black tape on the plate,Put the black masking tape on the plate,true,10528
17446,PennPAL lab,06b0ffa5,Take the marker from the cup and put it on the tabe,Remove the pen from the cup,Remove the pen from the mug,true,10912
17512,PennPAL lab,06b0ffa5,Take the marker out of the cup and put it on the table,Remove the pen from the black and red mug,Remove the pen from the mug cup and place it on the table,true,2521
17590,PennPAL lab,06b0ffa5,Remove the pen from the cup and put it on the shelf,Take the pen from the cup and put it on the table,Take the pen out of the mug,true,10997
17639,PennPAL lab,06b0ffa5,Take the marker out of the cup and put it on the counter,Take the pen out of the cup and put it on the counter,Remove the marker from the green cup,true,8026
18017,PennPAL lab,06b0ffa5,Remove the marker from the mug and put it on the table,Take the blue pen out of the red and black mug,Remove the blue marker from the black mug,true,572
18332,PennPAL lab,06b0ffa5,Pick the marker from the cup and put it on the table,Remove the pen from the cup,Remove the pen from the cup and put it on the table,true,1498
18840,PennPAL lab,06b0ffa5,Pick the marker from the cup and put it on the counter,Pick up the pen from the cup and place it on the table,Remove the pen from the mug cup and place it on the table,true,11677
19248,PennPAL lab,06b0ffa5,Push the drawer shut,Close the top drawer on the left side of the stove,Close the drawer fully,true,11899
19927,PennPAL lab,06b0ffa5,Put the masking tape on the plate,Put the tape on the plate,Put the black tape on the plate,true,2410
20312,PennPAL lab,06b0ffa5,Remove the pen from the mug.,Remove the pen from the mug,Pick up the pen from the cup and put it on the counter,true,12495
20677,PennPAL lab,06b0ffa5,Put the masking tape on the plate,Put the black tape on the plate,Put the black tape on the plate,true,2410
20724,PennPAL lab,06b0ffa5,Remove the pen from the mug cup and put it on the table,Take the black pen out of the mug and place it on the right side of the countertop,Remove the pen from the mug and put it on the counter,true,12730
20892,PennPAL lab,06b0ffa5,Close the drawer fully,Close the open drawer,Close the cabinet drawer,true,12825
21111,PennPAL lab,06b0ffa5,Remove the pen from the mug and put it on the counter,Remove the pen from the white and orange mug,Remove the pen from the mug,true,4617
21210,PennPAL lab,06b0ffa5,Put the tape on the plate,Put the black tape on the plate,Put the black masking tape on the white plate,true,996
21550,PennPAL lab,06b0ffa5,Remove the marker from the mug cup and place it on the table,Remove the marker from the cup,Remove the marker from the cup and place it on the table,true,158
21676,PennPAL lab,06b0ffa5,Pick up the pen from the green cup and put it on the table.,Remove the blue pen from the green cup,Pick up the pen and put it on the table,true,13279
22464,PennPAL lab,06b0ffa5,Remove the black pen from the white cup,Remove the pen from the mug,Remove the pen from the cup and put it on the table,true,13722
22577,PennPAL lab,06b0ffa5,Put the black masking tape on the cream plate,Put the masking tape on the plate,Take the black tape from the table and put it on the white plate,true,13790
22763,PennPAL lab,06b0ffa5,Remove the blue pen from the red and black mug,Take the blue pen out of he mug,Remove the marker from the mug cup and place it on the table,true,8292
22855,PennPAL lab,06b0ffa5,Move the black tape to the white plate,Pick up the seal tape from the table and put it on the plate,Pick up the black tape from the table and put it on the plate.,true,13926
22911,PennPAL lab,06b0ffa5,Pick the pen from the cup and put it on the table,Remove the pen from the cup,Remove the pen from the cup and put it on the table,true,2002
23232,PennPAL lab,06b0ffa5,Pick up the black masking tape and place it on the white plate,Put the black tape on the plate,Place the black masking tape on the white plate,true,14133
23329,PennPAL lab,06b0ffa5,Close the top drawer,Close the open drawer,Close the top drawer on the left,true,2816
24343,PennPAL lab,06b0ffa5,Put the tape on the plate,Put the tape on the plate,Pick up the black tape from the table and put it on the plate.,true,996
24427,PennPAL lab,06b0ffa5,Put the masking tape on the plate.,Put the black tape on the plate,Put the masking tape on the plate,true,14818
24495,PennPAL lab,06b0ffa5,Take the blue pen out of the red and black mug and put it on the table,Remove the pen from the black mug cup and put it on the table,Remove the marker from the mug cup and place it on the table,true,14857
24943,PennPAL lab,06b0ffa5,Remove the pen from the cup and put it on the table,Remove the blue pen from the red and black mug,Remove the marker from the cup and place it on the table,true,1720
25364,PennPAL lab,06b0ffa5,Close the drawer,Push the drawer shut,Close the open top drawer of the cabinet.,true,115
25396,PennPAL lab,06b0ffa5,Remove the blue sharpie from the mug and put it on the table,Remove the blue sharpie from the mug and put it on the table,Take the marker out of the mug and put it on the table,true,15360
25421,PennPAL lab,06b0ffa5,Completely close the top left drawer of the cupboard,Close the drawer at the left of the oven,Close the top drawer of the cabinet.,true,15377
25433,PennPAL lab,06b0ffa5,Remove the pen from the mug,Put the pen on the table,Remove the thing from the mug and put it on the table,true,9071
25907,PennPAL lab,06b0ffa5,Take the marker from the black cup and put it on the table,Remove the marker from the mug and put it on the table,Remove the marker from the mug cup and place it on the table,true,5686
25943,PennPAL lab,06b0ffa5,Pick up the pen from the cup and place it on the table,Remove the pen from the cup,Pick up the pen from the cup and put it on the table,true,4029
26329,PennPAL lab,06b0ffa5,Remove the pen from the red and black mug,Put the pen in the mug on the table,Take the marker out of the mug and put it on the table,true,15857
26347,PennPAL lab,06b0ffa5,Close the drawer,Close the open drawer,Close the open drawer,true,115
26547,PennPAL lab,06b0ffa5,Put the masking tape on the plate,Put the black tape on the plate,Place the black masking tape on the plate,true,2410
26781,PennPAL lab,06b0ffa5,Remove the pen from the mug cup and put it on the table,Remove the pen from the mug cup,Remove the pen from the mug,true,12730
26787,PennPAL lab,06b0ffa5,Pick up the pen from the black mug cup and put it on the table.,Pick the marker in the cup and put it on the table,Take the blue pen out of the mug,true,5546
26836,PennPAL lab,06b0ffa5,Place the black tape on the white plate,Pick the tape and put it on the plate,put the black tape on the plate,true,16114
27010,PennPAL lab,06b0ffa5,Take the marker out of the mug and put it on the table,Remove the pen from the mug,Put the blue sharpie on the table,true,406
27040,PennPAL lab,06b0ffa5,Pick up the masking table and put it on the plate,Put the black tape on the plate,Put the masking tape on the plate,true,16219
27296,PennPAL lab,06b0ffa5,Remove the marker from the black mug,Put the pen on the table,Take the marker from the cup and put it on the table,true,16364
27457,PennPAL lab,06b0ffa5,Pick up the pen from the black mug cup and put it on the table.,Put the marker on the table,Pick the marker from the cup and put it on the table,true,5546
27519,PennPAL lab,06b0ffa5,Close the open drawer,Close the open drawer,Close the drawer,true,9
27585,PennPAL lab,06b0ffa5,Remove the pen from the mug cup and place it on the table,Remove the pen from the mug,Remove the pen from the cup and put it on the table,true,3889
27968,PennPAL lab,06b0ffa5,Remove the marker from the mug cup and place it on the table,Remove the marker from the bowl,Pick up the pen from the cup and place it on the table,true,158
28082,PennPAL lab,06b0ffa5,Put the black masking tape on to the plate.,Pick up the seal tape and put it on the plate,Put the black tape on the white plate,true,7438
28191,PennPAL lab,06b0ffa5,Remove the blue pen from the red and black mug,Remove the marker from the mug cup,Remove the pen from the cup and place it on the table,true,8292
28617,PennPAL lab,06b0ffa5,Fully close the open drawer,Close the drawer,Close the open drawer,true,5472
28642,PennPAL lab,06b0ffa5,Remove the pen from the mug then put it on the table,Remove the pen from the cup and put it on the table,Remove the pen from the mug cup and place it on the table,true,17087
28778,PennPAL lab,06b0ffa5,Take the marker out of the cup and put it on the counter,Remove the marker out of the cup,Remove the marker from the cup,true,8026
28846,PennPAL lab,06b0ffa5,Place the yellow block on the table,Put the top yellow thing on the table,Put the topmost yellow block on the table,true,90
28967,PennPAL lab,06b0ffa5,Close the drawer,Close the drawer,Close the drawer on the left.,true,115
29425,PennPAL lab,06b0ffa5,Remove the pen from the mug and put it on the table,Pick up the pen from the cup and put it on the table,Pick up the pen from the mug cup and put it on the table.,true,3004
29658,PennPAL lab,06b0ffa5,Take the marker out of the black cup and place it on the table,Take the pen out of the mug and put it on the counter,Put the marker on the counter,true,1194
30214,PennPAL lab,06b0ffa5,Close the kitchen drawer,Close the drawer,Close the open drawer,true,11492
30224,PennPAL lab,06b0ffa5,Put the black masking tape on the white plate,Put the tape on the plate,Pick up the seal tape and put it on the plate,true,856
30358,PennPAL lab,06b0ffa5,Remove the pen in the black mug cup,Take the pen out of the mug and put it on the counter,Put the marker on the table,true,17998
30460,PennPAL lab,06b0ffa5,Remove the pen from the cup and place it on the table,Take the blue marker out of the green cup,Pick up the pen from the cup and place it on the table,true,18051
30517,PennPAL lab,06b0ffa5,Put the black tape on the plate,Put the black tape on the plate,Put the black tape on the plate,true,4245
30689,PennPAL lab,06b0ffa5,Put the marker on the table,Put the marker in the mug on the table,Remove the marker from the mug cup and place it on the table,true,243
31142,PennPAL lab,06b0ffa5,Remove the marker from the cup and put it on the counter,Remove the marker from the cup,Pick up the marker from the cup and put it on the counter,true,3098
31339,PennPAL lab,06b0ffa5,Take the marker out of the cup and put it on the table,Put the sharpie on the table,Remove the pen from the cup and put it on the table,true,2521
31568,PennPAL lab,06b0ffa5,Take the blue pen out of the red and black mug,Pick up the pen from the cup and put it on the table,Take the blue marker out of the red and black mug,true,4495
31664,PennPAL lab,06b0ffa5,Take the pen from the cup and put it on the table,Remove the pen from the mug and put it on the counter,Take the pen out of the mug and put it on the countertop,true,554
31833,PennPAL lab,06b0ffa5,Open the lead of the kettle,Open the kettle,Push the cover button on the kettle,true,18766
31918,PennPAL lab,06b0ffa5,Pick up the pen from the cup and place it on the table,Take the pen out of the white and orange mug,Pick up the pen from the cup and put it on the counter,true,4029
31995,PennPAL lab,06b0ffa5,Take the marker out of the black cup and put it on the table,Take the blue pen out of the black and red mug,Remove the marker from the mug and put it on the table,true,18858
32039,PennPAL lab,06b0ffa5,Pick up the pen from the green cup and put it on the countertop.,Pick up the pen from the cup and put it on the counter,Take the blue pen out of the green cup,true,3034
32114,PennPAL lab,06b0ffa5,Remove the pen from the mug.,Move the pen in the cup to the countertop,Put the pen on the table,true,12495
32160,PennPAL lab,06b0ffa5,Remove the pen from the mug and put it on the table,Take the pen out of the mug and put it on the table,Remove the marker from the mug and put it on the table,true,3004
32249,PennPAL lab,06b0ffa5,Close the drawer at the left of the oven,Close the drawer,Close the open drawer,true,18990
32261,PennPAL lab,06b0ffa5,Take the blue pen out of the red and black mug,Remove the marker from the mug,Pick up the sharpie and place it on the table,true,4495
32347,PennPAL lab,06b0ffa5,Remove the marker from the mug cup and place it on the table,Remove the blue marker from the mug and place it on the table,Pick up the pen from the cup and put it on the table,true,158
32423,PennPAL lab,06b0ffa5,Put the black masking tape on the cream plate,Place the masking tape on the plate,Pick up the black tape from the table and put it on the plate.,true,13790
32430,PennPAL lab,06b0ffa5,Remove the marker from the mug cup and place it on the table,Take the pen out of the mug.,Remove the pen from the cup and put it on the table,true,158
32816,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the counter,Remove the pen from the mug and put it on the counter,Remove the pen out of the cup,true,4775
32839,PennPAL lab,06b0ffa5,Take the marker from the cup and put it on the counter,Remove the pen from the cup,Remove the pen from the mug cup and place it on the table,true,19297
32896,PennPAL lab,06b0ffa5,Put the sharpie on the table,Put the marker on the table,Take the pen out of the cup,true,329
32900,PennPAL lab,06b0ffa5,Remove the pen from the cup and put it on the countertop,Pick up the pen from the cup and put it on the counter,Pick up the pen from the mug cup and put it on the countertop.,true,19335
32946,PennPAL lab,06b0ffa5,Remove the marker from cup,Take the marker out of the mug and place it on the table,Remove the blue pen from the mug and place it on the table,true,19358
33087,PennPAL lab,06b0ffa5,Take the pen from the cup and put it on the countertop,Remove the pen from the cup and put it on the base top,Pick up the pen from the cup and put it on the table,true,19426
33461,PennPAL lab,06b0ffa5,Empty the green cup,Pour the contents of the green cup on the white plate,Pour the contents of the green cup onto the white plate,true,19618
33497,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the counter,Put the pen on the countertop,Pick up the pen from the mug cup and place it on the table.,true,4775
33811,PennPAL lab,06b0ffa5,Put the tape on the plate,Put the tape on the plate,Put the masking tape on the plate,true,996
34100,PennPAL lab,06b0ffa5,Put the black masking tape on the white plate,Put the masking tape on the plate,Put the black masking tape on the white plate,true,856
34616,PennPAL lab,06b0ffa5,Place the masking tape on the white plate,Put the black masking tape on the plate,Put the masking tape on the plate,true,20248
34695,PennPAL lab,06b0ffa5,Remove the marker from the mug cup and place it on the table,Remove the marker from the mug,Remove the marker from the cup,true,158
35264,PennPAL lab,06b0ffa5,Take the marker from the black cup and put it on the table,Take the pen out of the mug and put it on the table,Remove the blue pen from the black mug,true,5686
35550,PennPAL lab,06b0ffa5,Put the pen on the countertop,Take the pen from the white cup and put it on the counter top,Take the black pen out of the mug and put it on the right side of the countertop,true,7510
35819,PennPAL lab,06b0ffa5,Remove the marker from the mug and put it on the table,Remove the pen from the cup and put it on the table,Take the blue pen out of the mug,true,572
35967,PennPAL lab,06b0ffa5,Take the pen from the mug and put it on the table,Remove the sharpie from the mug and put it on the table,Remove the pen from the black and red mug,true,20951
36019,PennPAL lab,06b0ffa5,Put the masking tape on the plate,Take the masking tape from the table and place it on the beige plate,Put the black masking tape on the white plate,true,2410
36104,PennPAL lab,06b0ffa5,Close the left kitchen drawer,Close the top cabinet drawer,Close the drawer at the left side of the oven,true,21024
36279,PennPAL lab,06b0ffa5,Remove the marker from the mug and put it on the table,Place the marker in the mug onto the sink counter,Take the marker from the mug and put it on the countertop,true,572
36306,PennPAL lab,06b0ffa5,Put the masking tape on the cream plate,Put the black masking tape on the plate,Put the black masking tape on the plate,true,21136
36474,PennPAL lab,06b0ffa5,Put the black tape on the plate,Put the black tape on the plate,Pick up the seal tape and put it on the plate,true,4245
36627,PennPAL lab,06b0ffa5,Remove the black pen from the white mug,Take the pen out of the mug and put it on the counter,Remove the black pen from the red and white mug,true,9026
36634,PennPAL lab,06b0ffa5,Put the black cup tape on the plate,Pick the tape and put it on the plate,Put the black tape on the plate,true,21321
36708,PennPAL lab,06b0ffa5,Pick the marker in the cup and put it on the counter,Put the pen on the table,Remove the pen from the cup,true,21357
36854,PennPAL lab,06b0ffa5,Pick up the pen from the black mug cup and put it on the table.,Put the marker on the table,Pick the pen from the cup and put it on the table,true,5546
36887,PennPAL lab,06b0ffa5,Close the drawer,Close the top counter drawer,Close the drawer,true,115
36972,PennPAL lab,06b0ffa5,Put the masking tape on the plate,Put the black tape on the plate,Put the tape on the plate,true,2410
36995,PennPAL lab,06b0ffa5,Remove the marker from the mug and put it on the table,Take the blue marker out of the mug,Remove the marker from the cup,true,572
37343,PennPAL lab,06b0ffa5,Move the blue pen from the black mug to the table,Put the marker on the table,Take the blue and white pen out of the black and orange cup,true,21686
37348,PennPAL lab,06b0ffa5,Close the drawer,Close the top left drawer,Close the top drawer of the kitchen unit,true,115
37408,PennPAL lab,06b0ffa5,Pick the marker from the cup and put it on the table,Pick up the pen from the cup and put it on the counter,Remove the pen from the cup and put it on the table,true,1498
37418,PennPAL lab,06b0ffa5,Put the pen in the mug on the table,Remove the pen from the mug and put it on the table,Get the pen from the black cup and out it on the table,true,21732
37428,PennPAL lab,06b0ffa5,Close the drawer at the left of the oven,Close the drawer fully,Close the open drawer on the left,true,18990
37649,PennPAL lab,06b0ffa5,Put the black tape on the plate,Put the masking tape on the plate,Put the tape on the plate,true,4245
37903,PennPAL lab,06b0ffa5,Put the marker on the counter,Pick the pen from the cup and put it on the table,Pick up the pen from the black cup and put it on the table.,true,6434
38133,PennPAL lab,06b0ffa5,Remove the pen from the mug and put it on the table,Remove the pen from the black and red mug,Pick up pen from the black cup and put it on the table.,true,3004
