"hh_id","is_complete","num_trips","person_id","person_num","is_participant","day_id","day_num","travel_date","travel_dow","hh_day_complete","num_complete_trip_surveys","summary_complete","begin_day","end_day","no_travel_1","no_travel_2","no_travel_3","no_travel_4","no_travel_5","no_travel_6","no_travel_7","no_travel_8","no_travel_11","no_travel_12","no_travel_13","no_travel_99","delivery_2","delivery_4","delivery_5","delivery_6","delivery_7","delivery_8","delivery_9","delivery_996","shop_online","telecommute_time","day_weight_zonal","day_weight_citywide"
"24000108","1","4","2400010801","1","1","240001080104","4","05/20/2024","1","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","646.80215866914","694.89799079122"
"24000108","1","12","2400010801","1","1","240001080105","5","05/21/2024","2","1","12","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","646.80215866914","694.89799079122"
"24000108","1","9","2400010801","1","1","240001080106","6","05/22/2024","3","1","9","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","646.80215866914","694.89799079122"
"24000108","1","6","2400010801","1","1","240001080107","7","05/23/2024","4","1","6","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","1","0","0","1","995","646.80215866914","694.89799079122"
"24000202","1","0","2400020201","1","1","240002020101","1","06/01/2024","6","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","995","403.22970015438","787.71698825209"
"24000202","1","0","2400020201","1","1","240002020102","2","06/02/2024","7","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","403.22970015438","787.71698825209"
"24000202","1","0","2400020201","1","1","240002020103","3","06/03/2024","1","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","403.22970015438","787.71698825209"
"24000202","1","3","2400020201","1","1","240002020104","4","06/04/2024","2","1","3","1","997","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","403.22970015438","787.71698825209"
"24000202","1","0","2400020201","1","1","240002020105","5","06/05/2024","3","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","403.22970015438","787.71698825209"
"24000202","1","14","2400020201","1","1","240002020106","6","06/06/2024","4","1","13","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","403.22970015438","787.71698825209"
"24000202","1","0","2400020201","1","1","240002020107","7","06/07/2024","5","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","403.22970015438","787.71698825209"
"24000229","1","6","2400022901","1","1","240002290101","1","05/28/2024","2","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","420","84.84422614905","763.36583183725"
"24000229","1","6","2400022901","1","1","240002290102","2","05/29/2024","3","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","420","84.84422614905","763.36583183725"
"24000229","1","0","2400022901","1","1","240002290103","3","05/30/2024","4","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","420","84.84422614905","763.36583183725"
"24000229","1","3","2400022901","1","1","240002290104","4","05/31/2024","5","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","420","84.84422614905","763.36583183725"
"24000229","1","4","2400022901","1","1","240002290105","5","06/01/2024","6","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","420","84.84422614905","763.36583183725"
"24000229","1","1","2400022901","1","1","240002290106","6","06/02/2024","7","1","1","1","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","84.84422614905","763.36583183725"
"24000229","1","8","2400022901","1","1","240002290107","7","06/03/2024","1","1","7","1","1","3","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","84.84422614905","763.36583183725"
"24000305","1","6","2400030501","1","1","240003050101","1","06/06/2024","4","1","2","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","525","3,740.44981844637","5,311.52196608622"
"24000347","1","0","2400034701","1","1","240003470101","1","06/07/2024","5","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","766.64839622435","1,063.2366251784"
"24002739","0","1","2400273901","1","1","240027390104","4","06/13/2024","4","0","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","0","0"
"24000381","1","8","2400038101","1","1","240003810101","1","05/28/2024","2","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","0","124.6974756242","129.85911972174"
"24000381","1","12","2400038101","1","1","240003810102","2","05/29/2024","3","1","12","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","1","0","124.6974756242","129.85911972174"
"24000381","1","10","2400038101","1","1","240003810103","3","05/30/2024","4","1","10","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","124.6974756242","129.85911972174"
"24000381","1","7","2400038101","1","1","240003810104","4","05/31/2024","5","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","0","124.6974756242","129.85911972174"
"24000381","1","7","2400038101","1","1","240003810105","5","06/01/2024","6","1","6","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","1","0","124.6974756242","129.85911972174"
"24000381","1","4","2400038101","1","1","240003810106","6","06/02/2024","7","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","1","0","124.6974756242","129.85911972174"
"24000381","1","8","2400038101","1","1","240003810107","7","06/03/2024","1","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","1","0","124.6974756242","129.85911972174"
"24000467","1","4","2400046701","1","1","240004670101","1","05/15/2024","3","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","13.53222324435","17.31273481886"
"24000467","1","12","2400046701","1","1","240004670102","2","05/16/2024","4","1","12","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","13.53222324435","17.31273481886"
"24000467","1","7","2400046701","1","1","240004670103","3","05/17/2024","5","1","7","1","1","2","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","995","13.53222324435","17.31273481886"
"24000467","1","9","2400046701","1","1","240004670104","4","05/18/2024","6","1","9","1","2","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","13.53222324435","17.31273481886"
"24000467","1","0","2400046701","1","1","240004670105","5","05/19/2024","7","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","13.53222324435","17.31273481886"
"24000467","1","2","2400046701","1","1","240004670106","6","05/20/2024","1","1","1","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","995","13.53222324435","17.31273481886"
"24000467","1","0","2400046701","1","1","240004670107","7","05/21/2024","2","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","13.53222324435","17.31273481886"
"24000504","1","4","2400050401","1","1","240005040101","1","05/17/2024","5","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","480","44.58037094259","30.36200659339"
"24000504","1","8","2400050401","1","1","240005040102","2","05/18/2024","6","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","44.58037094259","30.36200659339"
"24000504","1","3","2400050401","1","1","240005040103","3","05/19/2024","7","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","1","0","0","0","0","0","0","0","0","0","44.58037094259","30.36200659339"
"24000504","1","0","2400050401","1","1","240005040104","4","05/20/2024","1","1","0","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","480","44.58037094259","30.36200659339"
"24000504","1","1","2400050401","1","1","240005040105","5","05/21/2024","2","1","1","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","1","0","0","0","0","0","0","0","0","480","44.58037094259","30.36200659339"
"24000504","1","6","2400050401","1","1","240005040106","6","05/22/2024","3","1","6","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","480","44.58037094259","30.36200659339"
"24000504","1","2","2400050401","1","1","240005040107","7","05/23/2024","4","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","480","44.58037094259","30.36200659339"
"24000545","1","13","2400054501","1","1","240005450101","1","06/10/2024","1","1","13","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","109.73287419328","326.68450243007"
"24000545","1","8","2400054501","1","1","240005450102","2","06/11/2024","2","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","109.73287419328","326.68450243007"
"24000545","1","10","2400054501","1","1","240005450103","3","06/12/2024","3","1","10","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","109.73287419328","326.68450243007"
"24000545","1","7","2400054501","1","1","240005450104","4","06/13/2024","4","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","109.73287419328","326.68450243007"
"24000545","1","4","2400054501","1","1","240005450105","5","06/14/2024","5","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","109.73287419328","326.68450243007"
"24000545","1","4","2400054501","1","1","240005450106","6","06/15/2024","6","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","109.73287419328","326.68450243007"
"24000545","1","5","2400054501","1","1","240005450107","7","06/16/2024","7","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","109.73287419328","326.68450243007"
"24000658","1","14","2400065801","1","1","240006580101","1","05/15/2024","3","1","12","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","78.11261684162","145.62465293615"
"24000658","1","2","2400065801","1","1","240006580102","2","05/16/2024","4","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","0","78.11261684162","145.62465293615"
"24000658","1","10","2400065801","1","1","240006580103","3","05/17/2024","5","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","1","0","0","0","0","0","0","0","0","78.11261684162","145.62465293615"
"24000658","1","10","2400065801","1","1","240006580104","4","05/18/2024","6","1","9","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","1","0","78.11261684162","145.62465293615"
"24000658","1","9","2400065801","1","1","240006580105","5","05/19/2024","7","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","1","0","78.11261684162","145.62465293615"
"24000658","1","9","2400065801","1","1","240006580106","6","05/20/2024","1","1","9","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","0","78.11261684162","145.62465293615"
"24000658","1","10","2400065801","1","1","240006580107","7","05/21/2024","2","1","9","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","0","78.11261684162","145.62465293615"
"24000698","1","0","2400069801","1","1","240006980101","1","06/02/2024","7","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","134.64077623385","368.12355128997"
"24000785","1","0","2400078501","1","1","240007850101","1","06/06/2024","4","1","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","995","400.18082807842","698.60302684576"
"24000912","1","7","2400091201","1","1","240009120101","1","05/28/2024","2","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","1,164.20064790692","1,021.65467626834"
"24000912","1","6","2400091201","1","1","240009120102","2","05/29/2024","3","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","1,164.20064790692","1,021.65467626834"
"24000912","1","9","2400091201","1","1","240009120103","3","05/30/2024","4","1","9","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","1,164.20064790692","1,021.65467626834"
"24000912","1","8","2400091201","1","1","240009120104","4","05/31/2024","5","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","1,164.20064790692","1,021.65467626834"
"24000912","1","0","2400091201","1","1","240009120105","5","06/01/2024","6","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","995","1,164.20064790692","1,021.65467626834"
"24000912","1","0","2400091201","1","1","240009120106","6","06/02/2024","7","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","995","1,164.20064790692","1,021.65467626834"
"24000912","1","6","2400091201","1","1","240009120107","7","06/03/2024","1","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","1,164.20064790692","1,021.65467626834"
"24000964","1","8","2400096401","1","1","240009640101","1","06/08/2024","6","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","8,154.0267412163","7,133.52376271418"
"24000980","1","0","2400098001","1","1","240009800101","1","06/11/2024","2","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","351.63722402462","1,108.02162105889"
"24000980","0","0","2400098001","1","1","240009800102","2","06/12/2024","3","0","0","0","1","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","0","0"
"24000980","0","7","2400098001","1","1","240009800103","3","06/13/2024","4","0","0","0","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","0","0"
"24000980","0","1","2400098001","1","1","240009800104","4","06/14/2024","5","0","0","0","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","0","0"
"24000980","0","3","2400098001","1","1","240009800105","5","06/15/2024","6","0","0","0","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","0","0"
"24000980","0","5","2400098001","1","1","240009800106","6","06/16/2024","7","0","0","0","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","0","0"
"24000980","0","0","2400098001","1","1","240009800107","7","06/17/2024","1","0",,"0","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","0","0"
"24001124","1","7","2400112401","1","1","240011240101","1","05/14/2024","2","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","20.51850733407","54.22433522378"
"24001124","1","0","2400112401","1","1","240011240102","2","05/15/2024","3","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","995","20.51850733407","54.22433522378"
"24001124","1","7","2400112401","1","1","240011240103","3","05/16/2024","4","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","20.51850733407","54.22433522378"
"24001124","1","9","2400112401","1","1","240011240104","4","05/17/2024","5","1","9","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","20.51850733407","54.22433522378"
"24001124","0","0","2400112401","1","1","240011240105","5","05/18/2024","6","0","0","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","0","0"
"24001124","1","2","2400112401","1","1","240011240106","6","05/19/2024","7","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","20.51850733407","54.22433522378"
"24001124","1","1","2400112401","1","1","240011240107","7","05/20/2024","1","1","1","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","20.51850733407","54.22433522378"
"24001306","1","14","2400130601","1","1","240013060101","1","06/19/2024","3","1","12","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","37.47830916067","85.84278292092"
"24001306","1","2","2400130601","1","1","240013060102","2","06/20/2024","4","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","1","0","1","0","0","0","0","0","1","600","37.47830916067","85.84278292092"
"24001306","1","0","2400130601","1","1","240013060103","3","06/21/2024","5","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","480","37.47830916067","85.84278292092"
"24001306","1","0","2400130601","1","1","240013060104","4","06/22/2024","6","1","0","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","37.47830916067","85.84278292092"
"24001306","1","5","2400130601","1","1","240013060105","5","06/23/2024","7","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","1","0","37.47830916067","85.84278292092"
"24001306","1","2","2400130601","1","1","240013060106","6","06/24/2024","1","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","600","37.47830916067","85.84278292092"
"24001306","1","15","2400130601","1","1","240013060107","7","06/25/2024","2","1","13","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","0","37.47830916067","85.84278292092"
"24001323","1","8","2400132301","1","1","240013230101","1","05/30/2024","4","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","38.05939474604","45.23002592141"
"24001323","1","3","2400132301","1","1","240013230102","2","05/31/2024","5","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","540","38.05939474604","45.23002592141"
"24001323","1","4","2400132301","1","1","240013230103","3","06/01/2024","6","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","38.05939474604","45.23002592141"
"24001323","1","4","2400132301","1","1","240013230104","4","06/02/2024","7","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","0","38.05939474604","45.23002592141"
"24001323","1","9","2400132301","1","1","240013230105","5","06/03/2024","1","1","8","1","1","3","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","450","38.05939474604","45.23002592141"
"24001323","1","8","2400132301","1","1","240013230106","6","06/04/2024","2","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","450","38.05939474604","45.23002592141"
"24001323","1","0","2400132301","1","1","240013230107","7","06/05/2024","3","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","465","38.05939474604","45.23002592141"
"24001415","1","6","2400141501","1","1","240014150101","1","05/15/2024","3","1","6","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","71.8516206566","161.33877386453"
"24001415","1","2","2400141501","1","1","240014150102","2","05/16/2024","4","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","71.8516206566","161.33877386453"
"24001415","1","2","2400141501","1","1","240014150103","3","05/17/2024","5","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","71.8516206566","161.33877386453"
"24001415","1","8","2400141501","1","1","240014150104","4","05/18/2024","6","1","8","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","71.8516206566","161.33877386453"
"24001415","1","0","2400141501","1","1","240014150105","5","05/19/2024","7","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","995","71.8516206566","161.33877386453"
"24001415","1","2","2400141501","1","1","240014150106","6","05/20/2024","1","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","71.8516206566","161.33877386453"
"24001415","1","2","2400141501","1","1","240014150107","7","05/21/2024","2","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","71.8516206566","161.33877386453"
"24001425","1","3","2400142501","1","1","240014250101","1","06/05/2024","3","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","995","23.57851348128","31.65937553204"
"24001425","1","9","2400142501","1","1","240014250102","2","06/06/2024","4","1","9","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","995","23.57851348128","31.65937553204"
"24001425","1","9","2400142501","1","1","240014250103","3","06/07/2024","5","1","9","1","1","2","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","23.57851348128","31.65937553204"
"24001425","1","6","2400142501","1","1","240014250104","4","06/08/2024","6","1","6","1","2","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","23.57851348128","31.65937553204"
"24001425","1","3","2400142501","1","1","240014250105","5","06/09/2024","7","1","3","1","2","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","23.57851348128","31.65937553204"
"24001425","1","2","2400142501","1","1","240014250106","6","06/10/2024","1","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","23.57851348128","31.65937553204"
"24001425","1","3","2400142501","1","1","240014250107","7","06/11/2024","2","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","23.57851348128","31.65937553204"
"24001655","1","3","2400165501","1","1","240016550101","1","05/15/2024","3","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","21.33149508915","42.33143585042"
"24005455","0","0","2400545501","1","1","240054550101","1","06/08/2024","6","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"24001655","1","3","2400165501","1","1","240016550102","2","05/16/2024","4","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","21.33149508915","42.33143585042"
"24001655","1","5","2400165501","1","1","240016550103","3","05/17/2024","5","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","21.33149508915","42.33143585042"
"24001655","1","4","2400165501","1","1","240016550104","4","05/18/2024","6","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","21.33149508915","42.33143585042"
"24001655","1","4","2400165501","1","1","240016550105","5","05/19/2024","7","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","21.33149508915","42.33143585042"
"24001655","1","4","2400165501","1","1","240016550106","6","05/20/2024","1","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","21.33149508915","42.33143585042"
"24001655","1","3","2400165501","1","1","240016550107","7","05/21/2024","2","1","3","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","21.33149508915","42.33143585042"
"24001752","1","0","2400175201","1","1","240017520101","1","06/03/2024","1","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","995","106.38736631827","125.19087680331"
"24001752","1","5","2400175201","1","1","240017520102","2","06/04/2024","2","1","5","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","106.38736631827","125.19087680331"
"24001752","1","14","2400175201","1","1","240017520103","3","06/05/2024","3","1","14","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","106.38736631827","125.19087680331"
"24001752","1","15","2400175201","1","1","240017520104","4","06/06/2024","4","1","15","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","995","106.38736631827","125.19087680331"
"24001752","1","7","2400175201","1","1","240017520105","5","06/07/2024","5","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","1","0","0","0","0","0","0","995","106.38736631827","125.19087680331"
