is_first,is_last,is_terminal,language_instruction,language_instruction_2,language_instruction_3,observation.state.gripper_position,observation.state.cartesian_position,observation.state.joint_position,observation.state,action.gripper_position,action.gripper_velocity,action.cartesian_position,action.cartesian_velocity,action.joint_position,action.joint_velocity,action.original,action,discount,reward,task_category,building,collector_id,date,camera_extrinsics.wrist_left,camera_extrinsics.exterior_1_left,camera_extrinsics.exterior_2_left,is_episode_successful,timestamp,frame_index,episode_index,index,task_index
false,false,false,"","","",0.92070484,"[0.7220946, -0.1504436, 0.2161395, 3.136658, -0.34019464, -1.3273908]","[0.047375843, 0.84579486, -0.3157914, -1.4391888, -0.117560335, 2.385355, 1.2580197]","[0.047375843, 0.84579486, -0.3157914, -1.4391888, -0.117560335, 2.385355, 1.2580197, 0.92070484]",0.9801762,0.23788546,"[0.73692906, -0.14952624, 0.21241553, 3.1258998, -0.3327667, -1.3356173]","[0.18704748, 0.006516421, -0.015836127, 0.03770749, 0.064875364, -0.086839385]","[0.03426686, 0.88318646, -0.30227816, -1.3723385, -0.113353506, 2.34159, 1.2645417]","[-0.065601364, 0.15234971, 0.06633274, 0.305708, 0.02047521, -0.21611214, 0.03262392]","[0.73692906, -0.14952624, 0.21241553, 3.1258998, -0.3327667, -1.3356173, 0.9801762]","[0.03426686, 0.88318646, -0.30227816, -1.3723385, -0.113353506, 2.34159, 1.2645417, 0.9801762]",1.0,0.0,AHG kitchen floor 1,AHG kitchen floor 1,32cba90c,32cba90c,"[0.3212177, 0.14625376, 0.5303073, 3.031976, 0.13490799, 1.5555938]","[-0.043216307, -0.27911428, 0.33231503, -1.7820712, -0.008725304, -1.1746167]","[0.032700807, 0.39084366, 0.29473072, -1.9410878, -0.051884588, -1.8974696]",true,38.933334,584,81,23334,0
false,false,false,Put the marker in the cup,Put the marker in the cup,Put the marker in the cup,0.8237885,"[0.7074374, 0.015380161, 0.11185464, -3.1060789, -0.50536525, -0.91448325]","[0.44472703, 1.0266463, -0.5088013, -1.5911534, -0.024540955, 2.819118, 1.1489946]","[0.44472703, 1.0266463, -0.5088013, -1.5911534, -0.024540955, 2.819118, 1.1489946, 0.8237885]",0.95594716,0.52863437,"[0.7113938, 0.020280812, 0.095649816, -3.1234508, -0.5911296, -0.8967016]","[0.06505609, 0.046373576, -0.14453653, -0.39829704, -0.2635543, 0.0133180795]","[0.49154794, 1.0985347, -0.5758628, -1.5578115, -0.07211834, 2.856165, 1.2275242]","[0.17417438, 0.2809394, -0.27054435, 0.15632242, -0.19728038, 0.1399964, 0.3456635]","[0.7113938, 0.020280812, 0.095649816, -3.1234508, -0.5911296, -0.8967016, 0.95594716]","[0.49154794, 1.0985347, -0.5758628, -1.5578115, -0.07211834, 2.856165, 1.2275242, 0.95594716]",1.0,0.0,KAIST,KAIST,13759f6e,13759f6e,"[0.32192564, 0.005134524, 0.51097417, 2.9455848, 0.036829546, 1.4441426]","[0.2668878, 0.36488122, 0.30491915, -2.1651804, 0.054170236, -2.1829638]","[0.21684226, -0.24001902, 0.2630147, -2.024251, 0.12204234, -0.8876416]",true,16.466667,247,97,27535,76
false,false,false,"","","",0.0,"[0.5466573, 0.045980025, 0.27461332, 2.4961386, -0.4155243, 1.0180871]","[0.65257895, 0.3762892, -0.64510566, -2.3846655, -0.30778593, 3.454696, -0.4175583]","[0.65257895, 0.3762892, -0.64510566, -2.3846655, -0.30778593, 3.454696, -0.4175583, 0.0]",0.0,0.0,"[0.5466581, 0.045981765, 0.27461344, 2.4961379, -0.4155258, 1.0180885]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6525806, 0.376291, -0.6451038, -2.3846626, -0.30778262, 3.4546957, -0.4175583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5466581, 0.045981765, 0.27461344, 2.4961379, -0.4155258, 1.0180885, 0.0]","[0.6525806, 0.376291, -0.6451038, -2.3846626, -0.30778262, 3.4546957, -0.4175583, 0.0]",1.0,0.0,setup room,setup room,4dbb5646,4dbb5646,"[0.54002976, -0.03398638, 0.24617098, 2.2831833, 0.5883861, 2.2730436]","[0.5048644, -0.3410241, 0.4320483, -2.4821212, 0.052685775, 0.18220781]","[0.16257672, 0.5233576, 0.3113912, -2.1230946, -0.043448213, -2.517138]",false,2.2,33,101,28231,0
false,false,false,Take the brown toy from the stove and put it in the sink,Remove the orange item from the stove and put it in the pot in the sink,Place the doughnut toy in the pot in the sink,0.72246695,"[0.5652442, 0.12949497, -0.014165673, -3.0605292, -0.27362144, -0.058895297]","[0.23894924, 1.0279074, 0.016496617, -1.9238461, 0.18289241, 3.2384012, 0.108596236]","[0.23894924, 1.0279074, 0.016496617, -1.9238461, 0.18289241, 3.2384012, 0.108596236, 0.72246695]",0.93061674,0.8325991,"[0.5715148, 0.13296033, -0.00045758046, -3.0230534, -0.27753508, -0.085296646]","[0.07087537, 0.030369, 0.17202774, 0.21414326, -0.028379407, -0.09301816]","[0.20828378, 1.0060304, 0.048757054, -1.9196051, 0.16838163, 3.2254133, 0.12678826]","[-0.1477157, -0.108222574, 0.14804454, 0.008414578, -0.072639026, -0.065116376, 0.078013726]","[0.5715148, 0.13296033, -0.00045758046, -3.0230534, -0.27753508, -0.085296646, 0.93061674]","[0.20828378, 1.0060304, 0.048757054, -1.9196051, 0.16838163, 3.2254133, 0.12678826, 0.93061674]",1.0,0.0,BAIR,BAIR,t3d58310,t3d58310,"[0.33689985, 0.019893082, 0.49961516, 2.9574223, -0.012708237, 1.6874199]","[0.20150994, -0.3193454, 0.33031294, -2.1672106, 0.01374893, -0.8777212]","[0.23613621, 0.39953017, 0.28593233, -1.9227028, -0.046611685, -2.4265988]",true,4.9333334,74,113,32422,89
false,false,false,Put the lid on the glass jar.,Put the lid on the glass jar.,Pick up the silver lid on the paper towel and put it on the clear container on the paper towel,0.51541847,"[0.61680216, 0.08376758, 0.11850451, -3.1356668, -0.048258685, -0.017291002]","[0.11403966, 0.71965945, 0.019750496, -1.913314, -0.031894736, 2.681286, 0.17395754]","[0.11403966, 0.71965945, 0.019750496, -1.913314, -0.031894736, 2.681286, 0.17395754, 0.51541847]",0.2654185,-1.0,"[0.61237097, 0.0876975, 0.11981836, -3.1371338, -0.021305406, -0.01098598]","[-0.057823148, 0.04561241, 0.017615499, -0.006292696, 0.17666675, 0.036056608]","[0.12471526, 0.7106463, 0.016756726, -1.918834, -0.019399844, 2.650582, 0.16503347]","[0.049212392, -0.044880196, -0.014973162, -0.027942225, 0.062485464, -0.15059136, -0.044626065]","[0.61237097, 0.0876975, 0.11981836, -3.1371338, -0.021305406, -0.01098598, 0.2654185]","[0.12471526, 0.7106463, 0.016756726, -1.918834, -0.019399844, 2.650582, 0.16503347, 0.2654185]",1.0,0.0,640 Palo Alto Ave,640 Palo Alto Ave,52ca9b6a,52ca9b6a,"[0.22864912, 0.017174542, 0.41949823, 2.7372313, 0.19866863, 1.4799656]","[0.21915834, 0.5496691, 0.5329758, -1.7344077, 0.030380566, -2.674654]","[0.123709954, -0.70300126, 0.40109533, -2.0631773, 0.019218234, -0.67463046]",true,11.4,171,117,33245,91
false,false,false,Remove the white plate from the dishwasher and put it on top of the white plate on the counter,Remove the white plate from the dishwasher,Pick up the lid from the dish washer machine and put it on the counter,0.95154184,"[0.4467211, 0.23144326, 0.2882144, 2.0570884, 0.37066245, 0.5929387]","[0.36734128, 0.1966031, 0.27903438, -2.226046, -1.1365871, 1.7206885, 0.45789233]","[0.36734128, 0.1966031, 0.27903438, -2.226046, -1.1365871, 1.7206885, 0.45789233, 0.95154184]",0.95154184,0.0,"[0.44670746, 0.23147261, 0.28820533, 2.0569816, 0.37023994, 0.5927635]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.35774338, 0.19869182, 0.29051745, -2.223207, -1.1365674, 1.7163891, 0.458145]","[-0.048386972, 0.010328902, 0.057482757, 0.014178576, 0.00021381276, -0.021478921, -0.0012361044]","[0.44670746, 0.23147261, 0.28820533, 2.0569816, 0.37023994, 0.5927635, 0.95154184]","[0.35774338, 0.19869182, 0.29051745, -2.223207, -1.1365674, 1.7163891, 0.458145, 0.95154184]",1.0,0.0,Jimmy's Apartment,Jimmy's Apartment,w026bb9b,w026bb9b,"[0.20108539, -0.19407834, 0.40113062, 2.995055, 0.089244895, 1.4521277]","[0.22860318, 0.5458509, 0.55865747, -1.9074279, -0.050953526, -2.6873302]","[-0.016271206, -0.50247324, 0.65281236, -2.0875814, -0.026214277, -0.7782285]",true,16.8,252,127,35933,100
false,false,false,Put the fork on the cloth,Take the white spoon out of the mug.,Remove the spoon from the mug and place it in front of the mug,0.0,"[0.47830072, 0.25349832, 0.3877173, 3.033698, -0.2401897, 0.72640866]","[0.24879394, -0.0071153576, 0.23709019, -2.267426, -0.07988391, 2.5174906, -0.16847268]","[0.24879394, -0.0071153576, 0.23709019, -2.267426, -0.07988391, 2.5174906, -0.16847268, 0.0]",0.0,0.0,"[0.43619046, 0.23156495, 0.4219254, 3.0388758, -0.2939953, 0.53093904]","[-0.4809942, -0.23240206, 0.3463573, 0.18045992, -0.18608722, -0.9658187]","[0.24068592, -0.17924595, 0.23630388, -2.3836498, -0.06729445, 2.5069177, 0.012084208]","[-0.03522688, -0.6885791, 0.005489966, -0.47640008, 0.062908664, -0.049923718, 0.66160196]","[0.43619046, 0.23156495, 0.4219254, 3.0388758, -0.2939953, 0.53093904, 0.0]","[0.24068592, -0.17924595, 0.23630388, -2.3836498, -0.06729445, 2.5069177, 0.012084208, 0.0]",1.0,0.0,640 Palo Alto Ave,640 Palo Alto Ave,52ca9b6a,52ca9b6a,"[0.2961268, 0.050017543, 0.4619431, 2.644256, 0.21396336, 1.569286]","[0.3213374, 0.5599755, 0.5815882, -2.0829124, -0.06337062, -2.6288774]","[0.1049723, -0.49289706, 0.34725237, -1.8445958, -0.017755177, -0.45684972]",true,10.2,153,135,38676,107
false,false,false,Place the yellow and white book inside the black box,Put the book in the black basket,Pick the box and put it in the basket,0.85903084,"[0.5767462, 0.31643647, 0.4819356, 2.9456449, 0.10835686, 1.3404669]","[0.31372145, 0.3044825, 0.24896277, -1.5585202, -0.30530137, 1.9053575, -0.70831794]","[0.31372145, 0.3044825, 0.24896277, -1.5585202, -0.30530137, 1.9053575, -0.70831794, 0.85903084]",0.9647577,0.42290747,"[0.591129, 0.31681094, 0.48279497, 2.9574943, 0.13298997, 1.3044302]","[0.15880238, 0.021682495, 0.037803713, -0.12988274, 0.08664597, -0.19693051]","[0.31434795, 0.3464387, 0.24723321, -1.4925398, -0.3205822, 1.8479222, -0.6843774]","[0.003627548, 0.17161211, 0.0052422355, 0.29352394, -0.07633235, -0.2618576, 0.10104862]","[0.591129, 0.31681094, 0.48279497, 2.9574943, 0.13298997, 1.3044302, 0.9647577]","[0.31434795, 0.3464387, 0.24723321, -1.4925398, -0.3205822, 1.8479222, -0.6843774, 0.9647577]",1.0,0.0,Gates,Gates,7ae1bcff,7ae1bcff,"[0.2850736, -0.016644485, 0.47231308, 2.8084433, 0.024035325, 1.5391904]","[0.24393943, 0.5340153, 0.33590215, -1.9977202, -0.0003580794, -2.3270679]","[0.15838237, -0.40436196, 0.21138829, -1.9020383, 0.03177987, -0.7802598]",true,17.666666,265,139,39810,111
false,false,false,"","","",0.0,"[0.44548437, -0.10511937, 0.3837031, 3.055964, -0.15536273, -0.26996818]","[-0.16632767, -0.23311011, -0.06348705, -2.4989948, -0.16015694, 2.41184, 0.15913613]","[-0.16632767, -0.23311011, -0.06348705, -2.4989948, -0.16015694, 2.41184, 0.15913613, 0.0]",0.0,0.0,"[0.47206503, -0.13048953, 0.37060106, 3.0451875, -0.15071148, -0.33252254]","[0.3074211, -0.25101432, -0.12314609, -0.07252561, 0.031502996, -0.34398514]","[-0.18563858, -0.1303289, -0.08548484, -2.4225423, -0.17905945, 2.429182, 0.19535917]","[-0.07689037, 0.40674162, -0.0680186, 0.32236233, -0.094494745, 0.054612454, 0.17604873]","[0.47206503, -0.13048953, 0.37060106, 3.0451875, -0.15071148, -0.33252254, 0.0]","[-0.18563858, -0.1303289, -0.08548484, -2.4225423, -0.17905945, 2.429182, 0.19535917, 0.0]",1.0,0.0,AHG kitchen table,AHG kitchen table,32cba90c,32cba90c,"[0.28475392, -0.036599394, 0.4577009, 2.8165243, -0.012805353, 1.4725564]","[-0.01450775, -0.34049582, 0.40201166, -1.8332045, 0.06260047, -1.2730972]","[0.09380332, 0.38634083, 0.30926117, -1.8690271, -0.016836625, -1.8865373]",true,2.8666666,43,140,39958,0
false,false,false,Put the watermelon plush toy in the black pot,Move the watermelon plush toy from the box to the black pot,Take the toy watermelon from the box and place it in the black pot,0.0,"[0.4281771, -0.14968641, 0.55336183, -3.107299, 0.0070765545, -0.093381606]","[-0.08731663, -0.34289557, -0.21782446, -2.1081321, -0.041231222, 1.7588457, -0.19083247]","[-0.08731663, -0.34289557, -0.21782446, -2.1081321, -0.041231222, 1.7588457, -0.19083247, 0.0]",0.0,0.0,"[0.42809516, -0.15594438, 0.56311643, -3.139497, 0.08927109, -0.037445493]","[0.019443322, -0.07953232, 0.13381729, -0.14693893, 0.4339181, 0.31669307]","[-0.102220856, -0.3157467, -0.20559086, -2.05016, -0.08117548, 1.6514571, -0.24433781]","[-0.0745114, 0.12634502, 0.060456, 0.26488164, -0.1586671, -0.43028924, -0.2305931]","[0.42809516, -0.15594438, 0.56311643, -3.139497, 0.08927109, -0.037445493, 0.0]","[-0.102220856, -0.3157467, -0.20559086, -2.05016, -0.08117548, 1.6514571, -0.24433781, 0.0]",1.0,0.0,Penn Levine 457,Penn Levine 457,acda9df3,acda9df3,"[0.35795218, -0.17587806, 0.5359359, 2.7012322, -0.03910596, 1.4329249]","[0.41696382, 0.5766747, 0.44940406, -2.0917132, 0.025724888, -2.8939195]","[0.11251309, -0.46428034, 0.5313037, -2.1295028, -0.0056485008, -0.56895083]",true,3.2666667,49,142,41225,113
